Comment,Designator,Footprint,LCSC Part #
10uf Unpolarized capacitor,"C1,C2",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
0.1uf Unpolarized capacitor,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
"1N4007 1000V 1A General Purpose Rectifier Diode, DO-41",D1,D_MiniMELF,
"Conn_01x01_Male Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","J1,J2,J3,J4,J5,J7,J8,J9,J10",SolderWirePad_1x01_SMD_1x2mm,
"Conn_01x03_Male Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J6,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",
"SANYOU_SRD_Form_C Sanyo SRD relay, Single Pole Miniature Power Relay,",K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,
"BC847 0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",Q1,SOT-23,
R Resistor,"R1,R2,R3,R4,R5",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1K Resistor,R6,R_1206_3216Metric,
"SW_Push Push button switch, generic, two pins",SW1,SW_PUSH_6mm_H13mm,
"AMS1117-3.3 1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",U1,SOT-223-3_TabPin2,
"ESP-12E ESP8266 ESP-12E module, 22 pins, 2mm, PCB antenna",U2,ESP-12E_SMD,
"DS1302Z+ Trickle-Charge Timekeeping Chip, 2.0V to 5.5V VCC, 0°C to +70°C, SOIC-8",U3,SOIC-8_3.9x4.9mm_P1.27mm,
Crystal Two pin crystal,Y1,Crystal_SMD_G8-2Pin_3.2x1.5mm,
